,Date,XLF,XLK,XLI,HY,XLY,XLU,XLP,SPY,VBMFX,FR3Mts,FR6Mts,FR12Mts,R3,R6,R12,SPY2M,SPY3M,SPY4M,SPY5M,SPY6M,SPY7M,SPY8M,SPY9M,SPY10M,SPY11M,SPY12M,XLF2M,XLF3M,XLF4M,XLF5M,XLF6M,XLF7M,XLF8M,XLF9M,XLF10M,XLF11M,XLF12M,XLP2M,XLP3M,XLP4M,XLP5M,XLP6M,XLP7M,XLP8M,XLP9M,XLP10M,XLP11M,XLP12M,XLU2M,XLU3M,XLU4M,XLU5M,XLU6M,XLU7M,XLU8M,XLU9M,XLU10M,XLU11M,XLU12M,XLK2M,XLK3M,XLK4M,XLK5M,XLK6M,XLK7M,XLK8M,XLK9M,XLK10M,XLK11M,XLK12M,XLI2M,XLI3M,XLI4M,XLI5M,XLI6M,XLI7M,XLI8M,XLI9M,XLI10M,XLI11M,XLI12M,XLY2M,XLY3M,XLY4M,XLY5M,XLY6M,XLY7M,XLY8M,XLY9M,XLY10M,XLY11M,XLY12M,HY2M,HY3M,HY4M,HY5M,HY6M,HY7M,HY8M,HY9M,HY10M,HY11M,HY12M,VBMFX2M,VBMFX3M,VBMFX4M,VBMFX5M,VBMFX6M,VBMFX7M,VBMFX8M,VBMFX9M,VBMFX10M,VBMFX11M,VBMFX12M,cluster
11,11/1/1999,19.851746,46.671875,27.5,6.3,28.40625,28.953125,24.90625,139.28125,9.66,-0.01,0.03,-0.05,1,0,1,1.0082569845040155,1.0316333616233315,1.0372956304183394,1.039654770235596,1.0357488671133661,1.0404695602874723,1.041066292938583,1.0457667991918138,1.053377923259634,1.0566960869893205,1.0624025425833044,0.9774999788268005,1.0164644566730323,1.0230580217552838,1.017831537434828,1.0033144116117692,0.9990873982950002,0.9878414380750918,0.9869583202977263,0.9891221528723391,0.992271279638731,0.9962840784921838,1.0015708451146716,1.03082560896745,1.0213038603235625,1.0191815856777493,1.0112074434341298,1.0075853350189634,1.0035413551585741,0.9963191888325578,0.9903081510934394,0.9844478131491774,0.9784643715791089,0.9832846908994428,0.9795594713656387,0.9819819819819819,0.9737256962690489,0.9688044614848379,0.9700845112557026,0.9724481763316715,0.9837777253421425,0.9863203278863043,0.9859243494243978,0.9835021451634305,1.0467846504292972,1.0735593626452617,1.0863793416984906,1.1014824102072422,1.1097213622291022,1.1293615642216701,1.1449928126497364,1.158150956401861,1.1763547574039068,1.1813965194879907,1.1987959866220737,0.9887640449438202,0.9777777777777777,0.9706328415827933,0.967990320096799,0.9600872806618783,0.9625752011875929,0.9620772121626239,0.9759102951142875,0.9887640449438202,1.0002583311805735,1.0092225354804798,1.0002751031636863,1.0282805429864252,1.038857142857143,1.0371976266544958,1.0223055295220245,1.0211024632913424,1.014155219301304,1.01181126708305,1.01462216765264,1.016365114860744,1.0219224283305228,1.004784688995215,1.0015898251192368,0.9960474308300393,0.990254636906633,0.9851446442533229,0.9813084112149532,0.9741012756088132,0.9723889555822329,0.9726725335803613,0.9720858465422921,0.9725974527209572,0.9974186886938564,0.9958762886597937,0.9969040247678014,0.9962871287128712,0.9943386515697373,0.9914956011730205,0.9876038338658147,0.9844864681236553,0.9819068916446433,0.9777327935222673,0.9745271122320304,0.0
12,12/1/1999,19.30595,53.875,29.609375,6.31,31.0625,28.140625,23.03125,146.875,9.56,0.02,-0.01,-0.11,0,1,1,1.0265370754613956,1.0412820323462078,1.0644923843496972,1.0736967149449446,1.0790128180600729,1.0780169730331923,1.084026466390855,1.0860216434100565,1.091563606804854,1.099730916903311,1.1037938019238107,0.9860615905491483,0.9665325030146023,0.9913638510657078,0.9959402612993731,0.9915253958733344,0.9791244932753902,0.975078112420204,0.9648974213658545,0.9636950918935766,0.9652685375562892,0.9678137512322871,0.9608865710560626,0.9495383293966073,0.9645018812367087,0.9550343397693404,0.9515816655907037,0.9438346139773143,0.9397513547975773,0.9354770467526973,0.9286209286209286,0.9228229937393284,0.9171895255379829,0.9857690202517789,0.9700179533213644,0.9636169074371321,0.9632046208150604,0.954931071049841,0.9495367929502146,0.9496440812022146,0.9509533587562334,0.9603796725857197,0.9622595686807849,0.9616017797552836,1.0716394716394717,1.1298743855816493,1.1693090292496822,1.1934099404679497,1.2164402892926443,1.2315542402285948,1.255987614971314,1.2760917838638046,1.2933233308327081,1.3151178918169208,1.3236084452975048,1.036935704514364,1.0421631530705775,1.0390678546949965,1.0357455181460429,1.0349535772801748,1.0287730727470141,1.0317136246086838,1.0317604355716878,1.0454595608518151,1.0583904544300584,1.0701176470588236,1.0446663163426169,1.0606437844566958,1.090510148107515,1.1059190031152648,1.109375,1.0993837889082003,1.1005466749705903,1.0957192724600404,1.0947739412963269,1.098563247262132,1.101181683899557,1.0007930214115777,1.0042440318302386,1.0023828435266082,0.9981018664979435,0.9931794333683106,0.9885854968666068,0.9849756097560973,0.9782945736434109,0.9764778706282883,0.9765053460889138,0.9757731958762887,0.9947970863683664,0.991358451434497,0.9891360579410238,0.9892384105960264,0.9882839421088905,0.9862932940309505,0.9835390946502057,0.9798428425008541,0.9768059670992132,0.9742449508986475,0.9702300405953992,0.0
13,1/1/2000,18.734768,50.5625,27.1875,6.27,27.203125,27.640625,23.234375,139.5625,9.49,0.04,0.02,-0.02,0,0,1,0.9744708706087716,0.9834838141378551,0.9920586438607208,1.0091743119266057,1.0168102303343072,1.0216006012875396,1.0212376732885522,1.0266273322861192,1.0286648777510337,1.0337201595000367,1.0410761983390802,0.9849849837219167,0.9708397279480107,0.952719047301701,0.9693944489659841,0.971905160283723,0.9674157048084501,0.9561133376291772,0.9519168570735667,0.942348189347705,0.9407265546400091,0.9416768318858054,1.0043904086457278,0.9793633369923161,0.9680989583333334,0.9782894736842105,0.969361147327249,0.9654948520545404,0.9578871084628392,0.9535447096544354,0.9490681644115395,0.9422235023041474,0.9363488481922654,0.9910364145658264,0.9786096256684491,0.9641640550483717,0.9567333693888589,0.9546681057744199,0.946350783339702,0.940582214542071,0.9397910394899948,0.9402572552354629,0.9482019296364876,0.9495012747685289,0.9682824655894674,1.0038258711612036,1.044629166330401,1.0764420198256937,1.0980658296572785,1.1190041001827793,1.1337479197687659,1.155806016350504,1.1744211366770705,1.1906609579876906,1.2106247661803218,0.9573590096286108,0.9675625579240037,0.9673384294649062,0.9629219701162147,0.9588537839823659,0.9570957095709571,0.951209512095121,0.9529025191675794,0.9523809523809523,0.9634551495016611,0.9741077676696991,0.9337624027889515,0.9415900486749594,0.9456816947311244,0.9636886969998893,0.9736228912293783,0.9755062835187704,0.9672893950968817,0.9677000988142292,0.9634753735473159,0.9623618090452262,0.9651221878320321,0.996820349761526,0.9962923728813557,0.9984076433121016,0.9968203497615259,0.9931362196409714,0.9887362018472629,0.9844946025515209,0.9810500695410291,0.9748134328358209,0.9729157850190435,0.972721396250808,0.9963254593175853,0.9916405433646813,0.9880270692347728,0.9854620976116303,0.9849507005708356,0.9837109432844662,0.9816395138350142,0.9789111747851003,0.9753340184994861,0.9723360655737707,0.9697692242186835,0.0
14,2/1/2000,16.729284,55.875,25.6875,6.21,25.6875,24.28125,20.515625,137.4375,9.55,0.04,0.11,-0.1,0,0,1,0.9923285198555957,0.9727219109407255,0.9761944398202097,0.9814773488060701,0.9948350612629595,1.0011381743683132,1.0052858653104375,1.0050529416245588,1.0098853029311474,1.0118062890187918,1.0164575368585267,0.9434502295451185,0.9163383269549634,0.8967511187221188,0.8769128027053809,0.8854551182687159,0.8845637101780583,0.8788130819316046,0.867866497963153,0.8629607318471937,0.8537777018831785,0.8513753041408268,0.9378571428571428,0.9216190921853065,0.8950238582140423,0.8803808502078584,0.8838774823291821,0.8739184177997529,0.8685298495121548,0.8605447130789396,0.8554860568152203,0.8505388375242918,0.8437851443260322,0.9352994282275052,0.9098360655737705,0.890927332664469,0.8737209040818622,0.8634132790073156,0.8584280303030304,0.8492383359519092,0.8425301204819278,0.8402270884022709,0.8392576590730557,0.8447182460590686,1.0499119201409277,1.0456140350877192,1.0797916509398355,1.1198096073150874,1.1531144193045628,1.1775331639853233,1.201057978924388,1.2186293070806513,1.2427886286230625,1.2636042402826855,1.2820267686424474,0.9716312056737588,0.9342678537601818,0.9342236113084245,0.9299694535580948,0.9236819926959453,0.9182891796999681,0.9152400835073069,0.9089568743088832,0.9093926319283107,0.9081048508586924,0.9171548117154812,0.971344165435746,0.9179229480737019,0.9144764288694202,0.9125222024866786,0.9238550154537791,0.9300897114685202,0.9303246799179458,0.9222713956242597,0.9217313298945953,0.9173176422846707,0.915707389528407,0.9951923076923074,0.9914848323576368,0.9900358708648863,0.9910628790296836,0.9893786510886882,0.9859378543887503,0.9818181818181817,0.97778166550035,0.9744233485014907,0.9685240323266695,0.9665369649805448,1.003151260504202,1.0017482517482517,0.9984317825405117,0.9954138002918492,0.9930675909878683,0.9924287410926367,0.9911779968863519,0.9891817240188746,0.9865702479338844,0.9831539541413199,0.9802412111880935,0.0
15,3/1/2000,19.712124,60.5625,29.203125,6.16,29.265625,26.734375,21.21875,150.375,9.63,-0.03,-0.04,-0.22,1,1,1,1.0449511400651466,1.0555718046212341,1.0474531998258598,1.0537380107738799,1.0608075834956092,1.0748954909531865,1.0824733571408487,1.087840044208887,1.0888109514650979,1.0945069941999317,1.0972627338457592,1.0818530392678576,1.0717736582542436,1.0586230581012153,1.0448062600462324,1.0275694831368092,1.036913400916741,1.036802135108888,1.0314367871504324,1.0203008942198886,1.0152739777779394,1.0055033944410225,1.0168476226132535,0.9797979797979798,0.9644886363636364,0.9396623304732908,0.9243335224049914,0.9255184500048681,0.9148631578947368,0.9085637823371989,0.8999337309476475,0.8941697593678918,0.8885980696875512,1.0480857580398162,1.0196662693682956,1.0013167520117046,0.9846915285451198,0.9681252357600906,0.9573940847322142,0.9516790655635124,0.9418348623853211,0.9344110097755448,0.931456003167376,0.9299334208976855,1.040257648953301,1.0879491017964071,1.096774193548387,1.1318110144250424,1.172000201582422,1.2067784548325402,1.233707328718071,1.2595775410723957,1.2797992471769135,1.3058499234303216,1.3286865108838486,1.0640478223740393,1.067390062821245,1.0458869613878008,1.049057027391109,1.0472543892416883,1.0426362766974817,1.0382612318588986,1.0358396452983558,1.029922301206811,1.0306813054594677,1.0296102465225176,1.0651123116292294,1.0686572841384556,1.0339497653878003,1.033208296557811,1.0328094844223876,1.0447011952191234,1.0518040151621508,1.0529044347282948,1.0454342487162314,1.0453599878228221,1.0411821929865197,0.9959579628132575,0.9914163090128754,0.9875751503006012,0.9855999999999997,0.9858628967724724,0.9840255591054313,0.9806965174129352,0.9767441860465118,0.9728363866077071,0.9695235369866935,0.9638805580910158,1.0041710114702815,1.0076735263341472,1.0075856657075588,1.0054291083733558,1.003125,1.0011881776325562,1.0006494349915576,0.9995386921923655,0.9977206796518858,0.9953020764821952,0.9921016483516486,0.0
16,4/1/2000,19.902519,55.0,29.625,6.04,28.65625,28.484375,22.34375,145.09375,9.53,-0.01,-0.01,-0.13,1,1,1,0.9821258593336859,1.0054861762795062,1.0138107975326165,1.0085147052434944,1.0139030426554083,1.020119271814187,1.0323513062812675,1.0393224891807193,1.044450443154722,1.0457635447807034,1.0511560339216481,1.004806177352148,1.0596981818466435,1.060355084754737,1.0543303415507896,1.045333391178298,1.0319669565855194,1.040823153966877,1.0413992045484515,1.0371056695731498,1.0273393714409826,1.0229423087301446,1.0258249641319943,1.0460863204096562,1.0236220472440944,1.0124610591900312,0.9912199630314232,0.977061981454368,0.9776942141697291,0.967305524239008,0.9608923531783362,0.9521791767554479,0.9461843846493163,1.0316921335597058,1.0748820754716981,1.0634388216421176,1.0527835527835527,1.0406241080772525,1.0268769614548967,1.0175120351636084,1.0124028137726768,1.0031365212127883,0.9959769544054833,0.9930546098324935,0.9518658734451054,0.962449872402479,0.990990990990991,0.9968282736746715,1.0231071065252144,1.0546590763172539,1.0829519670807215,1.1056048021218678,1.1276629825404454,1.145358812045199,1.1678186342272603,1.007171314741036,1.0515806988352745,1.0608476710029375,1.0482087571870853,1.0529433543132172,1.0529990479212947,1.050124619219053,1.0470638767871387,1.045492142266336,1.0405627900014969,1.041615162752369,0.9894793633666037,1.0282190244814053,1.0344049633389736,1.0099118942731278,1.0097265553312536,1.0096736138419191,1.0200222469410456,1.0264925373134328,1.0277964581932302,1.0214683544303798,1.0215847375017406,0.9901639344262293,0.984247691472026,0.978930307941653,0.9745079057760566,0.9718423169750602,0.9712841718355157,0.9691135178499798,0.9657132705631553,0.9617834394904461,0.9579008073817761,0.9545634136704859,0.9947807933194154,0.9958202716823406,0.9979057591623027,0.9976968174204353,0.9958202716823408,0.9937434827945776,0.9919333853760083,0.9913314840499305,0.9902327514546967,0.9884959924563886,0.9862021386685065,1.0
17,5/1/2000,20.346771,49.28125,29.5,5.87,27.109375,28.421875,23.9375,142.8125,9.46,0.07,-0.07,-0.12,0,1,1,0.9920764137631608,0.9775401069518717,0.9922379634152961,0.9982961247760933,0.9938743702200151,0.9982525120139799,1.0035684875102937,1.0143033292231813,1.02063605502948,1.0254161227154046,1.0268124625524266,1.011037511469147,1.0179932214407086,1.0612380135071926,1.0661080240362675,1.064055777015774,1.058285411662419,1.0477980389935426,1.0565360857380408,1.0578065308359585,1.054479136133862,1.0458895255296554,1.0344361917623228,1.0638888888888889,1.0878750221906621,1.0758426966292134,1.0695834303002094,1.0526109148017275,1.0406724972403838,1.04194060303786,1.0325537507582394,1.0266845375898623,1.0183913139818304,0.9989017023613399,1.0194283579301326,1.053424062545244,1.0482941447671739,1.041710413286246,1.032684509326845,1.0214797136038185,1.013558692421991,1.0091539528432731,1.0008503401360545,0.9943060174008108,0.9451603236439916,0.8968720379146919,0.8931049129265185,0.9083054947586683,0.9093704949543489,0.9277640038660335,0.9515405211750952,0.9735569503035292,0.9915744466800804,1.0094561959905728,1.024025974025974,0.9978858350951374,1.0019458694498498,1.0349458681649992,1.044594445059201,1.0362239297475302,1.0412858493539237,1.0422301959701905,1.0404114621601763,1.0382183117954358,1.0372072117065374,1.033058228078975,0.97226113757355,0.9564498346196252,0.9793959920970928,0.9827801064914466,0.9625520110957004,0.9613710124277685,0.960553633217993,0.9687325516471245,0.9738984002245299,0.9747688850298789,0.969048173144054,0.9857262804366076,0.9745434421693413,0.9670510708401975,0.9607201309328968,0.9555073250135647,0.9520389249304912,0.9506072874493926,0.9479633949398889,0.9443371943371944,0.9402941604776466,0.9363285923168947,0.9963138493944181,0.9916142557651991,0.9913544668587889,0.9924464960134285,0.9919608528486543,0.9901315789473686,0.9881185533359449,0.9863299351251159,0.9856220045842886,0.9844843897824033,0.9827720543675874,0.0
18,6/1/2000,19.293257,54.1875,28.28125,5.87,25.59375,27.25,25.234375,145.28125,9.61,-0.01,-0.1,-0.16,1,1,1,1.0085692591387352,1.0061318713028422,0.9958230695084074,1.0074982662968102,1.0129275909652116,1.0094608846702648,1.013544079574874,1.018549623895421,1.0285625788181156,1.0346788062721295,1.0394052875747584,0.9734229753823591,0.9720741539659028,0.9737347594314034,1.0050251107073054,1.009072791021218,1.0076711696211338,1.0030520400919911,0.9942582902582283,1.0016474344666242,1.0027587677369605,0.9998903407217988,1.0263743247537338,1.0585536377539873,1.088458298230834,1.1141004415011038,1.1093302804808243,1.1073562542854345,1.0946369567059222,1.0853494623655915,1.0876885775862069,1.0798079260880136,1.0749348272228076,0.9789503227617177,0.9714073523950985,0.9829505424827392,1.0079759565368165,1.004222648752399,0.9989362572620898,0.9913315333238596,0.9816135084427767,0.9745194456861869,0.9704082148818858,0.9628266470371734,1.0474176985804893,1.0258331690001972,0.9895848195177629,0.9855632602023416,0.9989438310129621,0.999917620891342,1.0175683110214562,1.0409204602301152,1.0629885057471264,1.0814151264315681,1.0998757829637655,0.9789075175770687,0.9706828745084018,0.9701192549912904,0.9937410782914241,1.001198488061215,0.9943493956992623,0.9984829678665011,0.9992638940007361,0.9976849299966928,0.9957489372343086,0.9948243484633352,0.9712422176104358,0.9437295947762627,0.9254237288135593,0.9387895460797799,0.9391304347826086,0.9207419898819561,0.9182257725457221,0.9163351566384883,0.9224531170805879,0.9262324577186037,0.9264269218079842,0.9999999999999996,0.9904386951631043,0.9807852965747701,0.9734660033167493,0.9670510708401977,0.9616194710975896,0.9577809504385071,0.9558530848561608,0.9529220779220782,0.9491400852565042,0.9449959753152667,1.0078657577346617,1.008041958041958,1.0054930682709904,1.0056508999581413,1.0068098480880041,1.0065838695196767,1.0050987057131653,1.0033642691415314,1.001772125508183,1.0011364712567479,1.0000867227473766,0.0
19,7/1/2000,20.99411,51.3125,28.71875,5.83,26.0,27.671875,24.3125,143.0,9.64,0.0,-0.04,-0.15,0,1,1,0.9920867208672087,0.9951431678144256,0.9927324004772752,0.9840860215053764,0.9930555555555556,0.9974465964999689,0.9944043027109252,0.9978919822635749,1.0022998576278612,1.0112707182320442,1.0168700579618897,1.0422180233322278,1.038727226566658,1.0427107745482906,1.0471005128730693,1.0768229069270376,1.0828656859591161,1.0834356763076898,1.0804964740513825,1.0731200841815716,1.081109980766339,1.0829332026273175,0.9813938820561338,0.9925579417393153,1.0148377629218979,1.038579628887999,1.0604270786006362,1.0584005441648041,1.0580535486612834,1.0482820570401976,1.040941932031041,1.0434040477932212,1.0368725011106175,1.0076813655761023,0.9960629921259843,0.9898001956126868,0.9985340550293189,1.019573978123201,1.0168977114264621,1.0125786163522013,1.0059324708109814,0.9971285400596813,0.9905425331774037,0.9866295264623955,0.9727488151658767,0.9945487583282859,0.9784001191717563,0.9490232343081725,0.9437685602069165,0.9533051339470847,0.9531964298672084,0.9674948443484238,0.9871051128678349,1.0059873569300175,1.0219917012448132,1.0076754385964912,0.9960260115606937,0.9892357373519914,0.9880657993764111,1.007583371402467,1.0142688214426487,1.0085048010973936,1.0123623011015912,1.0132304299889747,1.011911911911912,1.0102138963953649,1.0078740157480315,0.9910661107802263,0.9687090670935817,0.9515096065873743,0.961108971890643,0.9603429796355841,0.9429765530920167,0.93981801066834,0.9373591707976566,0.9424849389835745,0.9455888620542691,0.996581196581196,0.9954467842914054,0.9877170690385428,0.979173664763184,0.9722067815453029,0.9659171597633138,0.9604612850082372,0.9564345606999639,0.9541734860883798,0.9510603588907014,0.9471974004874084,1.0015584415584415,1.0073145245559039,1.0083682008368193,1.0068936703572173,1.007314524555904,1.0085189059931252,1.0085000653851186,1.0073145245559039,1.0058430717863107,1.0044520223548359,1.0039052330122364,0.0
20,8/1/2000,23.126524,56.53125,31.5625,5.87,24.921875,28.75,24.015625,152.34375,9.72,-0.13,-0.19,-0.25,1,1,1,1.031636863823934,1.0372340425531914,1.0444563470808783,1.045553982756402,1.04,1.0492574485748547,1.0543675146665226,1.0524358943606227,1.0564295930308152,1.061250742133386,1.070448307410796,1.0483314451011747,1.0940753028386163,1.1044098003905463,1.1154647087281648,1.12469139589969,1.1554629948630732,1.1647755033407747,1.1683648562238018,1.1680236473014576,1.1628663134336743,1.172269638565946,0.9938570966698997,0.9793967714528463,0.9852564102564103,1.0019556714471969,1.0214887018165706,1.0404216226670535,1.0395671288468042,1.0399188092016238,1.0318206229860365,1.0255990294206854,1.0280363413410625,1.019108280254777,1.0308123249299719,1.0259269584611095,1.0225630765810825,1.0310048561822935,1.0503996085467298,1.0491055519920176,1.0459828196058616,1.040429742719819,1.0326003775317585,1.0266424884921188,1.048391770501304,1.0466730954676953,1.0700976042590948,1.0613705702886647,1.0376673040152964,1.0338830829523187,1.0437040242319342,1.0443232841565107,1.0589164983756256,1.0789166915173367,1.0983884433425255,1.0471747019180924,1.0691601976005647,1.069348861831657,1.068556919170546,1.070576804169243,1.090628615503278,1.0989459367562053,1.0951807228915664,1.1002178649237473,1.1021825396825398,1.1018181818181818,0.9788278613071494,0.9771288544006536,0.9620024125452352,0.9420033073470352,0.9256214334074861,0.9317366268880914,0.9297580880209851,0.9136328920570265,0.9098687963491158,0.9068589445392051,0.9107346783403122,1.003418803418803,1.0022766078542966,1.0017064846416381,0.9955902306648573,0.9882154882154882,0.9818399044205497,0.9758935993349959,0.970604446077531,0.9665733574839455,0.9641630580857098,0.960982264665757,1.0041322314049588,1.0065585088022093,1.0117096018735356,1.0133444537114262,1.0126758117728771,1.0134048257372656,1.0147461829570668,1.01496693351897,1.0140845070422537,1.012883668056082,1.0117096018735363,1.0
