Index,Very_Conservative,Conservative,Moderate,Aggressive,Very_Aggressive
mean,0.061797753,0.076011236,0.088988764,0.10011236,0.11
std,0.0373,0.0558,0.0798,0.106,0.133
max,0.039578464,0.081626709,0.135835745,0.221369039,0.3125
