Index,Very_Conservative,Conservative,Moderate,Aggressive,Very_Aggressive
mean,0.007634867,0.017374772,0.018659452,0.032306878,0.045954305
std,0.03300884,0.060997744,0.091621147,0.122925641,0.154497768
max,0.1,0.15,0.2,0.25,0.3
